farmer_id,name,location,product,land_size
F7566,Amit,Karnataka,Rice,3.5
F6988,Rajesh,Karnataka,Maize,4.5
F2593,Amit,UP,Wheat,5.0
F1888,Manoj,UP,Potato,5.0
F9899,Manoj,Karnataka,Soybean,2.8
F6292,Ravi,Karnataka,Wheat,3.5
F4361,Ravi,Haryana,Soybean,4.5
F3539,Unknown,UP,Maize,5.0
F6181,Amit,Punjab,Wheat,1.2
F6348,Amit,Unknown,Rice,3.5
F1463,Sunil,UP,Rice,2.8
F6119,Amit,Punjab,Rice,3.5
F8408,Amit,UP,Rice,1.2
F5959,Ravi,Maharashtra,Soybean,5.0
F8035,Rajesh,Haryana,Rice,4.5
F1834,Sunil,Haryana,Soybean,4.5
F4147,Ravi,Maharashtra,Soybean,2.8
F9017,Rajesh,Punjab,Wheat,3.5
F8143,Rajesh,Haryana,Potato,3.5
F3104,Rajesh,Punjab,Potato,2.8
F4088,Ravi,Maharashtra,Wheat,4.5
F9568,Rajesh,UP,Rice,4.5
F1707,Manoj,Punjab,Potato,5.0
F6698,Amit,Karnataka,Soybean,2.8
F4559,Ravi,Unknown,Maize,3.5
F2006,Amit,Maharashtra,Wheat,1.2
F3797,Manoj,Unknown,Maize,4.5
F2591,Sunil,Punjab,Rice,1.2
F5160,Sunil,Haryana,Rice,5.0
F5557,Rajesh,UP,Wheat,3.5
F5738,Manoj,Punjab,Rice,2.8
F8831,Ravi,Maharashtra,Soybean,2.8
F5254,Unknown,Maharashtra,Maize,4.5
F2817,Rajesh,Maharashtra,Soybean,1.2
F8895,Sunil,Karnataka,Maize,4.5
F3386,Amit,UP,Soybean,4.5
F4154,Amit,Karnataka,Soybean,3.5
F1684,Unknown,UP,Maize,5.0
F3701,Ravi,Haryana,Wheat,1.2
F7220,Unknown,Haryana,Potato,3.5
F5995,Rajesh,UP,Soybean,1.2
F3560,Rajesh,Haryana,Potato,4.5
F4340,Manoj,Maharashtra,Soybean,2.8
F9437,Ravi,Punjab,Rice,4.5
F6077,Unknown,Maharashtra,Rice,3.5
F1943,Unknown,Punjab,Wheat,1.2
F2415,Manoj,Unknown,Soybean,2.8
F9796,Manoj,Punjab,Maize,2.8
F7350,Unknown,Karnataka,Wheat,5.0
F1057,Sunil,Unknown,Rice,3.5
F7187,Rajesh,Haryana,Soybean,5.0
F5123,Amit,Punjab,Maize,1.2
F5819,Ravi,Unknown,Wheat,2.8
F2379,Amit,Maharashtra,Soybean,3.5
F8888,Unknown,Karnataka,Rice,3.5
F3698,Ravi,UP,Maize,3.5
F8393,Manoj,Haryana,Maize,2.8
